num_rects,mabo_edge,mabo_ss_fast,mabo_ss_qual,recall_edge_k0.5,recall_ss_fast_k0.5,recall_ss_qual_k0.5,recall_edge_k0.7,recall_ss_fast_k0.7,recall_ss_qual_k0.7,recall_edge_k0.9,recall_ss_fast_k0.9,recall_ss_qual_k0.9
10,0.044249066961387445,0.03686775225892151,0.033371431278274855,0.16606535947712417,0.10968627450980392,0.08911111111111111,0.07,0.02,0.014888888888888889,0.02,0.0,0.006000000000000001
30,0.060633062009608336,0.06989236994596577,0.0678030964753353,0.2282875816993464,0.20901960784313733,0.18717647058823528,0.12222222222222223,0.07517647058823529,0.053888888888888896,0.02,0.024,0.02
50,0.075174916690952,0.08363656759111127,0.09522751169374179,0.2647320261437909,0.24835294117647055,0.35364052287581704,0.16844444444444442,0.1228888888888889,0.14517647058823527,0.022000000000000002,0.012000000000000002,0.022000000000000002
70,0.08284875433300957,0.09426119661169259,0.09992479377722041,0.30873202614379086,0.3423986928104575,0.34243790849673206,0.17362091503267973,0.12711111111111112,0.12962091503267972,0.022000000000000002,0.0,0.0
90,0.09166539087613397,0.1119389851247417,0.11783135658234745,0.3253986928104575,0.47186274509803916,0.42432679738562096,0.2436209150326797,0.1708888888888889,0.18819607843137257,0.042,0.024,0.04800000000000001
110,0.09631959378302973,0.12537136087844183,0.1328525161200197,0.37039869281045745,0.4951699346405228,0.5709934640522876,0.25584313725490193,0.23739869281045753,0.2847973856209151,0.042,0.02,0.052000000000000005
130,0.10049498003002963,0.13165714710093793,0.1319340148869098,0.38357516339869285,0.5642352941176472,0.5432810457516339,0.27584313725490195,0.30224183006535943,0.27939869281045754,0.042,0.035666666666666666,0.05
150,0.10471884442712456,0.14847301422186146,0.14177723212871285,0.4275751633986928,0.7157254901960783,0.5984117647058824,0.3008431372549019,0.3735751633986928,0.33824183006535946,0.042,0.027000000000000003,0.08800000000000001
170,0.10847800166318132,0.14132214307473373,0.14828482348106656,0.45157516339869275,0.6353006535947712,0.66959477124183,0.31750980392156863,0.28441830065359475,0.38964052287581696,0.042,0.004,0.084
190,0.1133243476182612,0.13991219648709094,0.147483799797355,0.4832418300653595,0.6083464052287582,0.6328300653594771,0.3375098039215686,0.3214640522875817,0.39819607843137256,0.042,0.07566666666666667,0.07122222222222223
